Date,MMWR_week,Location,Distributed,Dist_Per_100K,Administered,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus
2021-12-01,48,MA,13418760,194686,11645874,168964,190313,193540,243705
2021-12-01,48,DE,1865905,191618,1446917,148590,170926,175260,244446
2021-12-01,48,AZ,11802250,162147,9621636,132189,153689,158136,220980
2021-12-01,48,CA,70974175,179626,59768100,151265,175401,178997,231620
2021-12-01,48,ME,2676680,199126,2241691,166766,186679,191047,254264
2021-12-01,48,MI,16563560,165854,12793470,128103,147276,152811,220108
2021-12-01,48,MO,9338355,152154,7423213,120950,140533,145845,211229
2021-12-01,48,NH,2648960,194818,2142671,157583,177382,180645,243900
2021-12-01,48,FL,38730695,180329,31017086,144415,164897,169443,234048
2021-12-01,48,AL,7870000,160508,5259251,107262,125171,130669,193616
2021-12-01,48,MT,1654065,154762,1327715,124227,143497,148710,216336
2021-12-01,48,HI,2820800,199227,2084586,147230,170078,173299,217173
2021-12-01,48,NJ,17079155,192285,13551590,152570,175971,179952,222999
2021-12-01,48,WY,815645,140930,635030,109723,128605,134868,207852
2021-12-01,48,MS,4463545,149977,3216417,108073,127120,132841,198841
2021-12-01,48,NC,17848100,170175,13598273,129655,149681,154661,219031
2021-12-01,48,NM,3633205,173271,3135817,149550,173626,178772,230531
2021-12-01,48,OH,18327435,156791,14464217,123741,143155,148854,219193
2021-12-01,48,CT,6838345,191803,6014388,168693,191228,194949,254946
2021-12-01,48,OK,6036020,152541,4893529,123669,146133,152288,219212
2021-12-01,48,RI,2054295,193918,1751600,165345,186413,189944,254208
2021-12-01,48,WI,9332965,160293,8221834,141210,162554,168355,248241
2021-12-01,48,KY,7074145,158341,5432418,121594,141475,147131,212071
2021-12-01,48,NE,3148640,162770,2597422,134275,158722,164808,238277
2021-12-01,48,CO,10201995,177157,8643268,150090,172458,177197,238450
2021-12-01,48,WV,3394645,189418,1691322,94374,108234,112505,166796
2021-12-01,48,WA,14040315,184380,11420671,149978,173465,177456,236804
2021-12-01,48,VT,1309140,209802,1123052,179979,200364,203990,278658
2021-12-01,48,KS,4824545,165603,3711659,127403,149770,155199,227143
2021-12-01,48,IL,21543985,170015,17987578,141949,163469,167905,222992
