filenames,done,total_tweets,good_tweets
2021_october26_october27.csv,1,178,144
2021_october27_october28.csv,1,184,144
2021_october28_october29.csv,1,219,165
2021_october29_october30.csv,1,192,162
2021_october2_october3.csv,1,110,71
2021_october30_october31.csv,1,532,314
2021_october31_november1.csv,1,430,257
2021_october3_october4.csv,1,91,63
2021_october4_october5.csv,1,158,104
2021_october5_october6.csv,1,174,129
2021_october6_october7.csv,1,244,199
2021_october7_october8.csv,1,292,242
2021_october8_october9.csv,1,191,142
2021_october9_october10.csv,1,168,126
2021_september10_september11.csv,1,256,230
2021_september11_september12.csv,1,225,179
2021_september12_september13.csv,1,202,161
2021_september13_september14.csv,1,217,176
2021_september14_september15.csv,1,257,217
2021_september15_september16.csv,1,236,199
2021_september16_september17.csv,1,248,199
2021_september17_september18.csv,1,300,271
2021_september18_september19.csv,1,233,193
2021_september19_september20.csv,1,194,164
2021_september1_september2.csv,1,279,256
2021_september20_september21.csv,1,245,203
2021_september21_september22.csv,1,245,210
2021_september22_september23.csv,1,266,219
2021_september23_september24.csv,1,223,192
2021_september24_september25.csv,1,247,206
2021_september25_september26.csv,1,227,177
2021_september26_september27.csv,1,226,192
2021_september27_september28.csv,1,259,218
2021_september28_september29.csv,1,289,234
2021_september29_september30.csv,1,282,232
2021_september2_september3.csv,1,251,199
2021_september30_october1.csv,1,249,201
2021_september3_september4.csv,1,262,228
2021_september4_september5.csv,1,255,211
2021_september5_september6.csv,1,240,196
2021_september6_september7.csv,1,216,178
2021_september7_september8.csv,1,238,200
2021_september8_september9.csv,1,250,206
2021_september9_september10.csv,1,224,185
